Cluster Label,Lat,Lon,N Visits,N Unique Visits,Avg Hourly N Arrivals,Avg Daily N Arrivals,Avg Dwell Time Hours,Expected Hourly N,Diversity,Utility,Selection
0,40.14895758839778,-82.97637426795576,181,90,0.35,2.0,0.96,0.336,0.497,0.166992,0.0
1,40.051484495762715,-82.91509197881359,354,191,0.47,2.0,8.94,4.202,0.54,2.26908,1.0
2,40.05543376300812,-82.90780297967481,246,118,0.06,1.0,8.92,0.535,0.48,0.25680000000000003,0.0
3,40.05171248539327,-82.92352294831457,89,56,0.06,1.0,0.53,0.032,0.629,0.020128,0.0
4,40.052826963636356,-82.86540522809918,121,50,0.24,1.33,2.82,0.677,0.413,0.279601,0.0
5,39.94965547914436,-83.00094620481282,187,47,0.12,1.0,9.85,1.182,0.251,0.296682,0.0
6,39.98856323856505,-83.04175420986554,223,62,0.18,1.0,4.79,0.862,0.278,0.23963600000000002,0.0
7,39.98648513175182,-83.02821963832122,274,75,0.35,3.0,22.92,8.022,0.274,2.1980280000000003,1.0
8,39.96699871626017,-83.003646980813,615,136,1.12,3.17,3.3,3.696,0.221,0.8168160000000001,1.0
9,40.103473175872075,-83.16120371017449,344,122,0.82,2.33,7.34,6.019,0.355,2.136745,1.0
10,40.10093032630387,-83.10805800521533,441,114,1.0,3.4,4.39,4.39,0.259,1.1370099999999999,1.0
11,39.95721261187498,-82.99887942500001,160,43,0.18,1.5,0.22,0.04,0.269,0.01076,0.0
12,40.09650688596261,-83.09014095173806,748,207,1.88,4.71,6.43,12.088,0.277,3.348376,1.0
13,40.086301504494394,-83.09024611123596,89,50,0.18,1.0,7.98,1.436,0.562,0.8070320000000001,1.0
14,40.05495254611869,-83.07077414246574,219,75,0.35,1.5,3.11,1.088,0.342,0.37209600000000004,0.0
15,40.12137968958333,-83.09128876875002,96,41,0.47,1.6,10.81,5.081,0.427,2.169587,1.0
16,40.10940839581587,-83.18968430627618,239,87,0.29,1.67,2.0,0.58,0.364,0.21111999999999997,0.0
17,40.10016580518517,-83.1144643577778,135,58,0.47,1.6,4.69,2.204,0.43,0.9477200000000001,1.0
18,40.006986591780816,-83.05260099497717,219,61,1.06,2.57,2.4,2.544,0.279,0.7097760000000001,1.0
19,39.95739242941177,-83.0552756717647,85,8,0.12,1.0,28.08,3.37,0.094,0.31678,0.0
20,40.108576502150534,-83.01825868172044,93,38,0.35,1.5,11.56,4.046,0.409,1.654814,1.0
21,40.06143511811024,-83.04129283307093,127,68,0.06,1.0,0.03,0.002,0.535,0.00107,0.0
22,40.03514936666664,-83.13223699895832,96,30,0.35,1.5,2.87,1.004,0.312,0.313248,0.0
