Cluster Label,Lat,Lon,N Visits,N Unique Visits,Avg Hourly N Arrivals,Avg Daily N Arrivals,Avg Dwell Time Hours,Expected Hourly N,Diversity,Utility,Selection
1,40.051484495762715,-82.91509197881359,354,191,0.47,2.0,8.94,4.202,0.54,2.26908,1.0
7,39.98648513175182,-83.02821963832122,274,75,0.35,3.0,22.92,8.022,0.274,2.1980280000000003,1.0
8,39.96699871626017,-83.003646980813,615,136,1.12,3.17,3.3,3.696,0.221,0.8168160000000001,1.0
9,40.103473175872075,-83.16120371017449,344,122,0.82,2.33,7.34,6.019,0.355,2.136745,1.0
10,40.10093032630387,-83.10805800521533,441,114,1.0,3.4,4.39,4.39,0.259,1.1370099999999999,1.0
12,40.09650688596261,-83.09014095173806,748,207,1.88,4.71,6.43,12.088,0.277,3.348376,1.0
13,40.086301504494394,-83.09024611123596,89,50,0.18,1.0,7.98,1.436,0.562,0.8070320000000001,1.0
15,40.12137968958333,-83.09128876875002,96,41,0.47,1.6,10.81,5.081,0.427,2.169587,1.0
17,40.10016580518517,-83.1144643577778,135,58,0.47,1.6,4.69,2.204,0.43,0.9477200000000001,1.0
18,40.006986591780816,-83.05260099497717,219,61,1.06,2.57,2.4,2.544,0.279,0.7097760000000001,1.0
20,40.108576502150534,-83.01825868172044,93,38,0.35,1.5,11.56,4.046,0.409,1.654814,1.0
25,40.02063972923077,-83.05949923923076,130,48,0.53,2.0,6.93,3.673,0.369,1.355337,1.0
27,39.99410436206897,-83.02649625977011,87,56,0.29,2.5,6.54,1.897,0.644,1.221668,1.0
40,40.10979055462963,-82.92725630833337,108,36,0.35,1.5,3.55,1.242,0.333,0.413586,1.0
47,39.99470952166667,-83.02004111000001,60,29,0.35,1.2,6.61,2.314,0.483,1.117662,1.0
