seq,Lat,Lon,vin,cluster_labels
574,40.140119899999995,-82.9821006,60c2ce40b07fc5bb74a2119f2fb5a7b1,37
591,40.1480972,-82.9771434,60c2ce40b07fc5bb74a2119f2fb5a7b1,0
594,40.1488333,-82.9791209,60c2ce40b07fc5bb74a2119f2fb5a7b1,0
595,40.1500133,-82.9765624,60c2ce40b07fc5bb74a2119f2fb5a7b1,0
602,40.1005119,-83.1662172,60c2ce40b07fc5bb74a2119f2fb5a7b1,10
603,40.1490185,-82.9207207,60c2ce40b07fc5bb74a2119f2fb5a7b1,63
618,40.0514472,-82.9133433,60c2ce40b07fc5bb74a2119f2fb5a7b1,1
619,40.055482299999994,-82.908739,60c2ce40b07fc5bb74a2119f2fb5a7b1,2
621,40.0565673,-82.9092957,60c2ce40b07fc5bb74a2119f2fb5a7b1,2
624,40.1001513,-83.1625424,60c2ce40b07fc5bb74a2119f2fb5a7b1,10
630,40.1481588,-82.9771179,60c2ce40b07fc5bb74a2119f2fb5a7b1,0
631,40.1487218,-82.9756546,60c2ce40b07fc5bb74a2119f2fb5a7b1,0
634,39.971293200000005,-83.0035094,60c2ce40b07fc5bb74a2119f2fb5a7b1,9
640,40.1481184,-82.9771281,60c2ce40b07fc5bb74a2119f2fb5a7b1,0
643,40.149114700000005,-82.9213052,60c2ce40b07fc5bb74a2119f2fb5a7b1,63
658,40.148084000000004,-82.9770941,60c2ce40b07fc5bb74a2119f2fb5a7b1,0
663,40.100462799999995,-83.16622070000001,60c2ce40b07fc5bb74a2119f2fb5a7b1,10
666,40.1003334,-83.1660718,60c2ce40b07fc5bb74a2119f2fb5a7b1,10
672,40.1487266,-82.97576049999999,60c2ce40b07fc5bb74a2119f2fb5a7b1,0
673,40.1481013,-82.9771761,60c2ce40b07fc5bb74a2119f2fb5a7b1,0
539,40.0554903,-82.9125807,70ffa0a0faa2cdfef5585d31085ad786,1
546,40.0583159,-82.911778,70ffa0a0faa2cdfef5585d31085ad786,2
560,40.0532126,-82.8632235,70ffa0a0faa2cdfef5585d31085ad786,4
639,40.0584308,-82.9118569,70ffa0a0faa2cdfef5585d31085ad786,2
219,40.0516784,-82.8627328,7496a0131b34b5613053c8326f747902,4
271,40.0524188,-82.9239748,7496a0131b34b5613053c8326f747902,3
272,40.0514371,-82.9168688,7496a0131b34b5613053c8326f747902,1
274,40.0558843,-82.9078853,7496a0131b34b5613053c8326f747902,2
275,40.052820600000004,-82.8645742,7496a0131b34b5613053c8326f747902,4
291,39.9958218,-83.0208316,7496a0131b34b5613053c8326f747902,69
294,39.9284641,-82.8335118,7496a0131b34b5613053c8326f747902,36
320,40.0809926,-82.81368590000001,7496a0131b34b5613053c8326f747902,64
326,40.0563239,-82.9071075,7496a0131b34b5613053c8326f747902,2
328,40.054205100000004,-82.90505350000001,7496a0131b34b5613053c8326f747902,2
329,40.063404,-82.8619315,7496a0131b34b5613053c8326f747902,59
353,39.9955432,-83.0211635,7496a0131b34b5613053c8326f747902,69
358,39.97492929999999,-83.0031503,7496a0131b34b5613053c8326f747902,34
652,39.949672,-83.0012941,99e5e62498bf96df7f638ba75a099d13,5
660,40.048790000000004,-82.91338449999999,99e5e62498bf96df7f638ba75a099d13,1
690,40.050957399999994,-82.91707070000001,99e5e62498bf96df7f638ba75a099d13,1
697,39.917046,-82.7821687,99e5e62498bf96df7f638ba75a099d13,6
699,39.9184052,-82.78082059999998,99e5e62498bf96df7f638ba75a099d13,6
708,39.8548081,-82.8306025,99e5e62498bf96df7f638ba75a099d13,53
712,40.05491729999999,-82.90561140000001,99e5e62498bf96df7f638ba75a099d13,2
742,39.8555333,-82.83121170000001,99e5e62498bf96df7f638ba75a099d13,53
748,39.85481729999999,-82.83066240000001,99e5e62498bf96df7f638ba75a099d13,53
336,39.9887515,-83.0411687,9b73f0efb8d3dc198d1f631fbc919620,7
339,39.952069,-83.00318299999999,9b73f0efb8d3dc198d1f631fbc919620,5
342,39.9854864,-83.0281442,9b73f0efb8d3dc198d1f631fbc919620,8
344,39.95240510000001,-83.0027135,9b73f0efb8d3dc198d1f631fbc919620,5
351,39.9518653,-83.0028498,9b73f0efb8d3dc198d1f631fbc919620,5
354,39.952119,-83.00305,9b73f0efb8d3dc198d1f631fbc919620,5
378,39.9518729,-83.00273879999999,9b73f0efb8d3dc198d1f631fbc919620,5
379,39.9918981,-83.0402093,9b73f0efb8d3dc198d1f631fbc919620,26
399,39.9671955,-83.0093712,9b73f0efb8d3dc198d1f631fbc919620,9
409,39.9883955,-83.0462612,9b73f0efb8d3dc198d1f631fbc919620,7
412,39.9522398,-83.00317509999999,9b73f0efb8d3dc198d1f631fbc919620,5
413,39.992115500000004,-83.04058459999999,9b73f0efb8d3dc198d1f631fbc919620,26
418,39.952156,-83.00303199999999,9b73f0efb8d3dc198d1f631fbc919620,5
422,39.949475899999996,-82.9984342,9b73f0efb8d3dc198d1f631fbc919620,5
424,39.951871999999995,-82.9985585,9b73f0efb8d3dc198d1f631fbc919620,5
425,39.9524667,-83.00263790000001,9b73f0efb8d3dc198d1f631fbc919620,5
431,39.985546500000005,-83.02810600000001,9b73f0efb8d3dc198d1f631fbc919620,8
433,39.9523205,-83.0027698,9b73f0efb8d3dc198d1f631fbc919620,5
440,39.9520103,-83.00283759999999,9b73f0efb8d3dc198d1f631fbc919620,5
457,39.9520018,-83.00285629999999,9b73f0efb8d3dc198d1f631fbc919620,5
275,40.050175700000004,-82.92199509999999,9e51f45c5d22838829f0f1b485cdfbcb,3
276,40.0488648,-82.9172208,9e51f45c5d22838829f0f1b485cdfbcb,1
277,40.0550875,-82.9070141,9e51f45c5d22838829f0f1b485cdfbcb,2
278,40.102628499999994,-83.1565599,9e51f45c5d22838829f0f1b485cdfbcb,10
283,40.100032399999996,-83.10762390000001,9e51f45c5d22838829f0f1b485cdfbcb,11
305,40.0503468,-82.9218782,9e51f45c5d22838829f0f1b485cdfbcb,3
311,40.102176799999995,-83.1136479,9e51f45c5d22838829f0f1b485cdfbcb,19
341,40.050146500000004,-82.92198540000001,9e51f45c5d22838829f0f1b485cdfbcb,3
228,39.9578139,-83.00142199999999,eadd863384f07d49b13652f62e266e39,12
1738,40.097992700000006,-83.0863489,eadd863384f07d49b13652f62e266e39,13
217,40.085565700000004,-83.0892314,118f29cba8ccee95a0511d56621cd7e8,14
226,40.0544368,-83.06743859999999,118f29cba8ccee95a0511d56621cd7e8,15
1690,40.102225399999995,-83.09076329999999,1b6b151e803d8fd9391f4b03c4ffdc65,13
1692,40.1164268,-83.05971219999999,1b6b151e803d8fd9391f4b03c4ffdc65,73
1693,40.1164417,-83.0597568,1b6b151e803d8fd9391f4b03c4ffdc65,73
1695,40.099900299999995,-83.087639,1b6b151e803d8fd9391f4b03c4ffdc65,13
1696,40.1164358,-83.0597703,1b6b151e803d8fd9391f4b03c4ffdc65,73
1698,40.117699,-83.06877659999999,1b6b151e803d8fd9391f4b03c4ffdc65,16
1701,40.117698299999994,-83.0688155,1b6b151e803d8fd9391f4b03c4ffdc65,16
1704,40.1176996,-83.0688109,1b6b151e803d8fd9391f4b03c4ffdc65,16
1705,40.116449100000004,-83.05975040000001,1b6b151e803d8fd9391f4b03c4ffdc65,73
1707,40.117633500000004,-83.06878209999999,1b6b151e803d8fd9391f4b03c4ffdc65,16
1708,40.1164328,-83.0597531,1b6b151e803d8fd9391f4b03c4ffdc65,73
1710,40.1176255,-83.0687433,1b6b151e803d8fd9391f4b03c4ffdc65,16
1711,40.1176865,-83.0687542,1b6b151e803d8fd9391f4b03c4ffdc65,16
1716,40.1176437,-83.0687813,1b6b151e803d8fd9391f4b03c4ffdc65,16
1717,40.11643,-83.0597324,1b6b151e803d8fd9391f4b03c4ffdc65,73
1719,40.1012544,-83.1072879,1b6b151e803d8fd9391f4b03c4ffdc65,11
1720,40.0870109,-83.08938559999999,1b6b151e803d8fd9391f4b03c4ffdc65,14
1722,40.116476899999995,-83.0598225,1b6b151e803d8fd9391f4b03c4ffdc65,73
1723,40.1175959,-83.0676304,1b6b151e803d8fd9391f4b03c4ffdc65,16
1725,40.1164505,-83.0597883,1b6b151e803d8fd9391f4b03c4ffdc65,73
1726,40.1000738,-83.08775379999999,1b6b151e803d8fd9391f4b03c4ffdc65,13
1728,40.1164537,-83.05976779999999,1b6b151e803d8fd9391f4b03c4ffdc65,73
1729,40.117701000000004,-83.0687527,1b6b151e803d8fd9391f4b03c4ffdc65,16
1732,40.1176844,-83.0687863,1b6b151e803d8fd9391f4b03c4ffdc65,16
1737,40.117689399999996,-83.06877929999999,1b6b151e803d8fd9391f4b03c4ffdc65,16
1740,40.116463200000005,-83.0597715,1b6b151e803d8fd9391f4b03c4ffdc65,73
1741,40.0999811,-83.0879288,1b6b151e803d8fd9391f4b03c4ffdc65,13
1743,40.11643970000001,-83.05976729999999,1b6b151e803d8fd9391f4b03c4ffdc65,73
1744,40.117627500000005,-83.06878409999999,1b6b151e803d8fd9391f4b03c4ffdc65,16
1746,40.11763070000001,-83.068783,1b6b151e803d8fd9391f4b03c4ffdc65,16
1747,40.1164602,-83.0597417,1b6b151e803d8fd9391f4b03c4ffdc65,73
1749,40.1176375,-83.06875600000001,1b6b151e803d8fd9391f4b03c4ffdc65,16
1752,40.1176914,-83.0687738,1b6b151e803d8fd9391f4b03c4ffdc65,16
1753,40.116443700000005,-83.0597494,1b6b151e803d8fd9391f4b03c4ffdc65,73
1756,40.1164418,-83.05978979999999,1b6b151e803d8fd9391f4b03c4ffdc65,73
1758,40.1001869,-83.0879129,1b6b151e803d8fd9391f4b03c4ffdc65,13
1759,40.116454,-83.05976059999999,1b6b151e803d8fd9391f4b03c4ffdc65,73
1761,40.117687700000005,-83.06872,1b6b151e803d8fd9391f4b03c4ffdc65,16
1762,40.1176827,-83.0687465,1b6b151e803d8fd9391f4b03c4ffdc65,16
1765,40.117682200000004,-83.06874920000001,1b6b151e803d8fd9391f4b03c4ffdc65,16
1767,40.11642379999999,-83.05973759999999,1b6b151e803d8fd9391f4b03c4ffdc65,73
1768,40.1164287,-83.05974040000001,1b6b151e803d8fd9391f4b03c4ffdc65,73
1786,40.11642929999999,-83.05973409999999,1b6b151e803d8fd9391f4b03c4ffdc65,73
1788,40.1164287,-83.05969809999999,1b6b151e803d8fd9391f4b03c4ffdc65,73
1789,40.1000529,-83.0877046,1b6b151e803d8fd9391f4b03c4ffdc65,13
1791,40.116460700000005,-83.05975790000001,1b6b151e803d8fd9391f4b03c4ffdc65,73
1792,40.1177026,-83.06875720000001,1b6b151e803d8fd9391f4b03c4ffdc65,16
1794,40.116448,-83.0597692,1b6b151e803d8fd9391f4b03c4ffdc65,73
1795,40.1176773,-83.06881779999999,1b6b151e803d8fd9391f4b03c4ffdc65,16
1797,40.08680089999999,-83.0895412,1b6b151e803d8fd9391f4b03c4ffdc65,14
1798,40.0929704,-83.0891686,1b6b151e803d8fd9391f4b03c4ffdc65,13
1799,40.1021506,-83.090781,1b6b151e803d8fd9391f4b03c4ffdc65,13
1801,40.1176885,-83.06878809999999,1b6b151e803d8fd9391f4b03c4ffdc65,16
1804,40.117689500000004,-83.0687902,1b6b151e803d8fd9391f4b03c4ffdc65,16
1807,40.1176859,-83.06878640000001,1b6b151e803d8fd9391f4b03c4ffdc65,16
1810,40.1175983,-83.0688963,1b6b151e803d8fd9391f4b03c4ffdc65,16
1812,40.1164266,-83.0597372,1b6b151e803d8fd9391f4b03c4ffdc65,73
1813,40.1164311,-83.05973259999999,1b6b151e803d8fd9391f4b03c4ffdc65,73
1815,40.1215281,-83.0914557,1b6b151e803d8fd9391f4b03c4ffdc65,17
1816,40.1164558,-83.059791,1b6b151e803d8fd9391f4b03c4ffdc65,73
1818,40.1001815,-83.087978,1b6b151e803d8fd9391f4b03c4ffdc65,13
1819,40.1164341,-83.0597631,1b6b151e803d8fd9391f4b03c4ffdc65,73
1822,40.1164438,-83.05977659999999,1b6b151e803d8fd9391f4b03c4ffdc65,73
1824,40.1000731,-83.0878555,1b6b151e803d8fd9391f4b03c4ffdc65,13
1825,40.1164456,-83.0597598,1b6b151e803d8fd9391f4b03c4ffdc65,73
1827,40.117681899999994,-83.06878470000001,1b6b151e803d8fd9391f4b03c4ffdc65,16
1828,40.1174123,-83.0682104,1b6b151e803d8fd9391f4b03c4ffdc65,16
1830,40.1192282,-83.0908615,1b6b151e803d8fd9391f4b03c4ffdc65,17
1831,40.117686,-83.06878490000001,1b6b151e803d8fd9391f4b03c4ffdc65,16
1834,40.1176348,-83.06878909999999,1b6b151e803d8fd9391f4b03c4ffdc65,16
1836,40.1177109,-83.0687219,1b6b151e803d8fd9391f4b03c4ffdc65,16
1837,40.1176594,-83.0686242,1b6b151e803d8fd9391f4b03c4ffdc65,16
1854,40.1164305,-83.0597256,1b6b151e803d8fd9391f4b03c4ffdc65,73
1855,40.1001945,-83.0882851,1b6b151e803d8fd9391f4b03c4ffdc65,13
1857,40.1164516,-83.059798,1b6b151e803d8fd9391f4b03c4ffdc65,73
1858,40.0998865,-83.08761059999999,1b6b151e803d8fd9391f4b03c4ffdc65,13
1860,40.1164471,-83.05976340000001,1b6b151e803d8fd9391f4b03c4ffdc65,73
1861,40.1177002,-83.0687844,1b6b151e803d8fd9391f4b03c4ffdc65,16
1863,40.1176744,-83.06500720000001,1b6b151e803d8fd9391f4b03c4ffdc65,16
1864,40.1177018,-83.0687499,1b6b151e803d8fd9391f4b03c4ffdc65,16
1866,40.1006651,-83.1077879,1b6b151e803d8fd9391f4b03c4ffdc65,11
1867,40.1006303,-83.10791640000001,1b6b151e803d8fd9391f4b03c4ffdc65,11
1869,40.1002429,-83.10792020000001,1b6b151e803d8fd9391f4b03c4ffdc65,11
1870,40.117627399999996,-83.0687494,1b6b151e803d8fd9391f4b03c4ffdc65,16
1872,40.1164458,-83.0597402,1b6b151e803d8fd9391f4b03c4ffdc65,73
1873,40.1176356,-83.0687454,1b6b151e803d8fd9391f4b03c4ffdc65,16
1875,40.1164434,-83.0597564,1b6b151e803d8fd9391f4b03c4ffdc65,73
1876,40.1176916,-83.0687494,1b6b151e803d8fd9391f4b03c4ffdc65,16
1878,40.116440000000004,-83.0597647,1b6b151e803d8fd9391f4b03c4ffdc65,73
1888,40.1164305,-83.0597333,1b6b151e803d8fd9391f4b03c4ffdc65,73
1890,40.100175,-83.087692,1b6b151e803d8fd9391f4b03c4ffdc65,13
1891,40.116480200000005,-83.0598345,1b6b151e803d8fd9391f4b03c4ffdc65,73
1893,40.1176891,-83.06878540000001,1b6b151e803d8fd9391f4b03c4ffdc65,16
1896,40.1176401,-83.06875090000001,1b6b151e803d8fd9391f4b03c4ffdc65,16
1899,40.1176391,-83.0687591,1b6b151e803d8fd9391f4b03c4ffdc65,16
1900,40.116481799999995,-83.0598209,1b6b151e803d8fd9391f4b03c4ffdc65,73
1902,40.1173881,-83.068054,1b6b151e803d8fd9391f4b03c4ffdc65,16
1903,40.117532000000004,-83.0668416,1b6b151e803d8fd9391f4b03c4ffdc65,16
1905,40.1164376,-83.0597551,1b6b151e803d8fd9391f4b03c4ffdc65,73
1906,40.0932636,-83.0851699,1b6b151e803d8fd9391f4b03c4ffdc65,13
1908,40.1164271,-83.0597387,1b6b151e803d8fd9391f4b03c4ffdc65,73
1910,40.117687100000005,-83.0687627,1b6b151e803d8fd9391f4b03c4ffdc65,16
1911,40.1176339,-83.0687943,1b6b151e803d8fd9391f4b03c4ffdc65,16
1914,40.1176382,-83.0687857,1b6b151e803d8fd9391f4b03c4ffdc65,16
1916,40.11643660000001,-83.0597538,1b6b151e803d8fd9391f4b03c4ffdc65,73
1917,40.1164456,-83.0597627,1b6b151e803d8fd9391f4b03c4ffdc65,73
1920,40.116465999999996,-83.0598286,1b6b151e803d8fd9391f4b03c4ffdc65,73
1922,40.123878600000005,-83.0905628,1b6b151e803d8fd9391f4b03c4ffdc65,17
1923,40.1217422,-83.0916392,1b6b151e803d8fd9391f4b03c4ffdc65,17
1925,40.1240226,-83.0905582,1b6b151e803d8fd9391f4b03c4ffdc65,17
1926,40.116455200000004,-83.0597415,1b6b151e803d8fd9391f4b03c4ffdc65,73
