,name,Lat,Lon
0,Grove City Supercharger,39.877385,-83.063379
1,Doubletree by Hilton Hotel,40.059949,-82.401124
2,Village of Somerset Offices,39.80745,-82.299962
3,Dublin Supercharger,40.093177,-83.092304
4,Dave Kehl Chevy Dealership ,40.072975,-83.554714
5,The Inn at Dresden,40.120691,-82.022744
6,Ohio Caverns,40.238249,-83.696891
7,Columbus Supercharger,39.974322,-83.000802
8,Polaris Supercharger,40.141072,-82.988946
9,Public Parking Lot,39.88134,-83.093292
10,Tomorrow's Stars RV Resort,39.926065,-83.678258
11,Buckeye Lake KOA Campground ,39.929535,-82.494049
12,Denison University Parking Garage,40.07161,-82.524437
13,Ricart Nissan,39.891667,-82.888076
14,Village of Sunbury,40.242467,-82.857257
15,Walgreens,40.021035,-83.061476
16,Hampton Inn,39.840629,-82.997795
17,Georgesville Nissan,39.926789,-83.124217
18,City of Hilliard Public Parking,40.034674,-83.160859
19,Meijer,40.061792,-82.86151
20,Marble Cliff Village Administration,39.988782,-83.059202
21,City of Upper Arlington Public Service Department,40.005903,-83.104729
22,AAA Gahanna Car Care Plus,40.068484,-82.862195
23,AAA Car Care Plus Northwest,40.063194,-83.054932
24,AAA Car Care Plus,39.98122,-82.817535
25,Byers Chevrolet,39.841976,-83.08416
26,No Cages Harley-Davidson,40.124395,-83.187968
27,Tolles Technical and Career Center,40.054346,-83.292761
28,Shopping Center,39.944791,-83.266426
29,Buckeye Nissan,40.031605,-83.125712
30,Walmart Supercenter,39.982277,-83.146744
31,City of Upper Arlington Police Division,40.030979,-83.051683
32,City of Gahanna,40.020966,-82.879872
33,Dave Gill Chevrolet,39.97678,-82.874535
34,AEP Ohio,39.999585,-82.856257
35,Murphy Park,40.157123,-83.084236
36,OSU Center for Automotive Research (CAR),39.998144,-83.032787
37,Lindsay Honda,39.92785,-82.83403
38,AAA,40.109322,-83.015686
39,COTA Northern Lights Park & Ride,40.041138,-82.961387
40,Dick Masheter Ford,39.953728,-82.87574
41,City of Westerville,40.122643,-82.928136
42,Germain Nissan,40.057232,-82.886018
43,Hannah Park (Coming Soon),40.042468,-82.818963
44,A.D. Farrow Harley-Davidson,39.960155,-83.013493
45,Renaissance Hotel,40.143365,-82.943561
46,Old Worthington,40.087347,-83.019382
47,Coughlin Nissan Heath ,40.011673,-82.459656
48,Mark Wahlberg Chevrolet of Worthington ,40.088827,-83.000552
49,Tansky Sawmill Toyota,40.095716,-83.09062
50,Whole Foods Market,40.057117,-82.909058
51,Donatos,39.99176,-82.840908
52,Huntington Bank - Upper Arlington,40.051955,-83.06722
53,Pathways Credit Union,39.937681,-83.112382
54,TOSUA - Unnamed Hanger,40.074239,-83.076202
55,Yellow Cab of Columbus,39.926445,-82.943431
56,Mount Carmel Grove City,39.853646,-83.075577
57,Huntington Bank,40.006562,-83.051181
58,LC Gahanna,40.0597,-82.848792
59,Fairfield Inn & Suites by Marriott Columbus New Albany,40.081471,-82.854117
60,City of Whitehall,39.96819,-82.884255
61,McNaughton-McKay Electric,40.014922,-82.923013
62,Dublin Community Recreation Center,40.106756,-83.139269
63,Upper Valley Mall - Storm Martial Arts,39.951075,-83.851801
64,Nissan/North,40.14039,-83.01803
65,Vision Professionals,40.126979,-83.036427
66,Franklin County Extension Building,40.011226,-83.037557
67,Gramercy Apartments (Coming Soon),40.098275,-82.831248
68,Worthington Community Center,40.107078,-83.004631
69,John Bryan Community Center,39.807896,-83.887761
70,Ohio Dominican University Gold Lot North,39.994597,-82.942143
71,Powell Public Parking,40.157336,-83.077001
72,The Timbrook Guesthouse,40.078735,-83.039626
73,Oak Village,40.157814,-83.003276
74,South Campus Gateway Station,39.994244,-83.005348
75,Marysville City Parking,40.235463,-83.365852
76,Hilliard City Hall,40.02943,-83.152094
77,MAG Jaguar Dublin in Columbus,40.100311,-83.14644
78,Lifestyle Communities,40.107286,-82.82695
79,Clean Fuels Ohio,40.059289,-83.079687
80,Pathways Financial Credit Union,40.071457,-82.863526
81,Lane Avenue Parking Garage,40.005485,-83.016016
82,Nationwide Children's Hospital Administrative Office,39.955677,-82.976347
83,Kelly BMW,40.060183,-82.905527
84,Neil Avenue Bed and Breakfast,39.986689,-83.013272
85,The View on Fifth - Holly Clubhouse,39.987665,-83.033708
86,9th Avenue Garage,39.992866,-83.016753
87,SpringHill Suites,39.988937,-83.026347
88,The Goat,40.100436,-82.824689
89,Cambria Hotel & Suites,40.150777,-82.973907
90,IKEA,40.150701,-82.967118
91,Mall at Tuttle Crossing,40.072113,-83.130527
92,AAA Dublin Car Care Plus,40.101501,-83.156487
93,Donatos Pizza,40.033308,-83.016688
94,OSU Schumaker Athlete Development Center,40.012939,-83.026286
95,Hilliard Community Center,40.029196,-83.168328
96,Friendship Park (Coming Soon),40.015692,-82.876435
97,Edison Brewing Company (Coming Soon),39.997279,-82.844114
98,Home2 Suites by Hilton Grove,39.874712,-83.05046
99,Northwest Professional Building,40.025558,-83.056095
100,White Castle (Coming Soon),39.97227,-83.017714
101,Lake Shore,40.140031,-82.921245
102,Easton Gateway ,40.056197,-82.907282
103,The Granville Inn,40.068211,-82.516055
104,Friends of Franklinton,39.955592,-83.022914
105,Dublin City Hall,40.104908,-83.133861
106,Columbus - Holiday Inn Express,39.936101,-82.785515
107,Dublin Library Garage,40.101458,-83.114716
